"first_of_month","pay_tag","system","sub_system","hero_id","hero_name","revenue","pearl_revenue","paymentdetail_last_pearl","total_revenue"
2025-04-01,中R,武将,武将,1072,梵天丸SR,155.58150657986135,0.0,,155.58150657986135
2025-04-01,超R,武将,武将,348078,武将,543.679737782974,0.0,,543.679737782974
2025-04-01,,神器,神器,,,0.23821392318425433,0.0,,0.23821392318425433
2025-04-01,中R,武将,武将,1023,明智光秀SSR,31.24929594254397,0.0,,31.24929594254397
2025-03-01,非R,武将,武将,1265,S20朝日姬SSR+,0.0,0.0,,0.0
2025-04-01,超R,武将,武将,1313,UR-佐竹义重,5808.402277595834,0.0,,5808.402277595834
2025-03-01,中R,武将,武将,1121,谋·织田信长SSR+,86.90793765000438,0.0,,86.90793765000438
2025-03-01,小R,武将,武将,1125,勇·佐佐木小次郎SSR,103.75388800319948,0.0,,103.75388800319948
2025-04-01,大R,武将,武将,1197,刚·毛利元就UR,155.01218132292604,0.0,,155.01218132292604
2025-03-01,非R,武将,武将,1158,刚·上杉谦信UR,0.0,0.0,,0.0
2025-03-01,大R,武将,武将,1038,本多忠胜SSR+,82.67079813028002,0.0,,82.67079813028002
2025-04-01,微R,武将,武将,1020,浓姬SSR,0.7978224660436348,0.0,,0.7978224660436348
2025-04-01,非R,武将,武将,1299,联动-望月千代女UR,0.7875705093265531,0.0,,0.7875705093265531
2025-04-01,超R,武将,武将,1062,立花宗茂SSR,61.47617357810591,0.0,,61.47617357810591
2025-03-01,中R,武将,武将,1296,S31京极龙子UR,310.60093198713787,0.0,,310.60093198713787
2025-03-01,微R,武将,武将,1306,联动-风魔小太郎UR,0.7046353466099178,0.0,,0.7046353466099178
2025-04-01,非R,武将,武将,348076,武将,0.0,0.0,,0.0
2025-03-01,大R,武将,武将,1291,联动-查理曼UR,504.5036799879999,0.0,,504.5036799879999
2025-04-01,中R,武将,武将,348062,武将,76.23852902497572,0.0,,76.23852902497572
2025-04-01,大R,武将,武将,1084,光·立花訚千代UR,2580.146828540045,0.0,,2580.146828540045
