group_col,month,count,mean,std,min,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,max
情人节活动,2024-08-01,6.0,0.3284564010514464,0.11965271809673918,0.21739130434782608,0.21739130434782608,0.2345949327494526,0.2517985611510791,0.2618992805755396,0.272,0.2874084507042254,0.30281690140845074,0.34258492129246065,0.38235294117647056,0.4633658197006613,0.5443786982248521,0.5443786982248521
情人节活动,2024-09-01,9.0,0.3561510234396256,0.09446917216827973,0.2350230414746544,0.2350230414746544,0.24410605757029322,0.2712779973649539,0.31145559642669474,0.3475715899275796,0.3505747126436782,0.3677893611333868,0.3812979422866188,0.41265875278627345,0.46612852368039354,0.5286624203821656,0.5286624203821656
情人节活动,2024-10-01,5.0,0.2967544115814604,0.06580422394020813,0.23809523809523808,0.23809523809523808,0.2508863399374348,0.26367744177963154,0.27169749190494485,0.27494649031337465,0.2781954887218045,0.28202520690214744,0.2858549250824904,0.312143538181503,0.3608910461991852,0.40963855421686746,0.40963855421686746
情人节活动,2024-11-01,9.0,0.315977431943653,0.06059458792366921,0.23225806451612904,0.23225806451612904,0.26254356692621433,0.27493339423003726,0.28267689090275355,0.2928692699490662,0.3064516129032258,0.3260790549750114,0.3339943661971831,0.3456,0.3760733944954128,0.44036697247706424,0.44036697247706424
情人节活动,2024-12-01,5.0,0.4105632963967597,0.08802238427246423,0.2953020134228188,0.2953020134228188,0.32627211714460036,0.35724222086638197,0.38032467532467534,0.3955194805194805,0.4107142857142857,0.4221042471042471,0.4334942084942085,0.4583280955373979,0.4966059082338152,0.5348837209302325,0.5348837209302325
情人节活动,2025-01-01,8.0,0.3937819527338183,0.11975518258472728,0.2578125,0.2578125,0.2745268485915493,0.2971390845070423,0.3213087729357798,0.32828268348623857,0.37132318168920836,0.41323024054982815,0.4162371134020619,0.5041666666666668,0.5643382352941176,0.5686274509803921,0.5686274509803921
情人节活动,2025-02-01,13.0,0.47329130468091846,0.17504053547948734,0.20270270270270271,0.20270270270270271,0.2720682302771855,0.2984873949579832,0.3487979539641944,0.41799906498363726,0.512396694214876,0.5735602836879433,0.5780141843971631,0.5973333333333334,0.6283755868544602,0.794392523364486,0.794392523364486
情人节活动,2025-03-01,11.0,0.49840820351138665,0.11035857322926111,0.3181818181818182,0.3181818181818182,0.38848920863309355,0.42105263157894735,0.44360902255639095,0.46956521739130436,0.4715447154471545,0.5046728971962616,0.5508474576271186,0.5867768595041323,0.638095238095238,0.6896551724137931,0.6896551724137931
情人节活动,2025-04-01,10.0,0.42045940998596104,0.14550296834652773,0.23728813559322035,0.23728813559322035,0.2610914509219594,0.2950007738740133,0.3287535671545614,0.3411090027408813,0.3678181356362713,0.45539855463272577,0.5588863191602917,0.5851795263559969,0.5898768809849522,0.6046511627906976,0.6046511627906976
成长计划,2024-06-01,1.0,0.005319148936170213,,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213
成长计划,2024-07-01,2.0,0.006702712364270075,0.0006951315602173493,0.006211180124223602,0.006211180124223602,0.006309486572232897,0.006407793020242191,0.006506099468251486,0.00660440591626078,0.006702712364270075,0.0068010188122793695,0.0068993252602886634,0.006997631708297958,0.007095938156307252,0.007194244604316547,0.007194244604316547
成长计划,2024-08-01,4.0,0.008153998449883227,0.004422281124089521,0.004310344827586207,0.004310344827586207,0.004792389308304427,0.005274433789022649,0.005756478269740869,0.0063337278106508875,0.006958579881656804,0.007583431952662723,0.008638848920863307,0.01055539568345324,0.012471942446043167,0.014388489208633094,0.014388489208633094
成长计划,2024-09-01,6.0,0.006637974594387566,0.0017336265389236737,0.0049504950495049506,0.0049504950495049506,0.005000500050005001,0.005050505050505051,0.0056116722783389455,0.006172839506172839,0.006511077287332995,0.00684931506849315,0.006996086105675146,0.007142857142857143,0.008402346445824707,0.00966183574879227,0.00966183574879227
成长计划,2024-10-01,5.0,0.006619336098172783,0.0013701641944256794,0.005076142131979695,0.005076142131979695,0.0054266376601401975,0.005777133188300701,0.006060606060606061,0.006277056277056277,0.006493506493506494,0.0066171923314780464,0.006740878169449598,0.00719656283566058,0.007984246330110991,0.008771929824561403,0.008771929824561403
成长计划,2024-11-01,1.0,0.005747126436781609,,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609,0.005747126436781609
成长计划,2024-12-01,1.0,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
成长计划,2025-01-01,1.0,0.007042253521126761,,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761
成长计划,2025-02-01,1.0,0.007042253521126761,,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.007042253521126761
成长计划,2025-03-01,2.0,0.010256679991584262,7.438531255907339e-05,0.01020408163265306,0.01020408163265306,0.0102146013044393,0.01022512097622554,0.010235640648011782,0.010246160319798022,0.010256679991584262,0.010267199663370502,0.010277719335156742,0.010288239006942984,0.010298758678729224,0.010309278350515464,0.010309278350515464
成长计划,2025-04-01,2.0,0.009303721488595438,0.0012733015267464838,0.008403361344537815,0.008403361344537815,0.008583433373349339,0.008763505402160863,0.00894357743097239,0.009123649459783913,0.009303721488595438,0.009483793517406962,0.009663865546218486,0.009843937575030012,0.010024009603841536,0.01020408163265306,0.01020408163265306
战鼓解锁,2024-06-01,2.0,0.00967659791189203,0.0014405027373293553,0.008658008658008658,0.008658008658008658,0.008861726508785332,0.009065444359562006,0.009269162210338681,0.009472880061115355,0.00967659791189203,0.009880315762668703,0.010084033613445377,0.010287751464222053,0.010491469314998727,0.0106951871657754,0.0106951871657754
战鼓解锁,2024-08-01,4.0,0.009776945686546575,0.0079497275837756,0.004347826086956522,0.004347826086956522,0.004883969058415578,0.0054201120298746335,0.005956255001333689,0.006316426164348052,0.0065886114231400675,0.0068607966819320835,0.008496301550309043,0.012858445637855917,0.01722058972540278,0.02158273381294964,0.02158273381294964
战鼓解锁,2024-09-01,2.0,0.005775386950925712,0.0008400991426921789,0.0051813471502590676,0.0051813471502590676,0.005300155110392397,0.005418963070525726,0.005537771030659055,0.005656578990792384,0.005775386950925712,0.005894194911059041,0.00601300287119237,0.006131810831325699,0.006250618791459028,0.006369426751592357,0.006369426751592357
战鼓解锁,2024-10-01,3.0,0.006449737333661137,0.0007392893318473644,0.005952380952380952,0.005952380952380952,0.005981416957026713,0.006010452961672474,0.006039488966318235,0.0060685249709639955,0.006097560975609756,0.006337902795086345,0.006578244614562934,0.006818586434039523,0.007058928253516112,0.0072992700729927005,0.0072992700729927005
战鼓解锁,2024-11-01,16.0,0.10997258401495223,0.15470026361774777,0.012903225806451613,0.012903225806451613,0.016968651136036815,0.02127659574468085,0.02700650100249104,0.036585365853658534,0.041928807947019864,0.05042016806722692,0.07556497175141243,0.14545454545454545,0.3177504105090312,0.5344827586206896,0.5344827586206896
战鼓解锁,2024-12-01,23.0,0.01773632791478941,0.010707194685254915,0.006711409395973154,0.006711409395973154,0.007610993657505285,0.0078875,0.010406376839943278,0.014823914823914826,0.016,0.01938461538461539,0.020612866387514275,0.022695593525179858,0.026596491228070177,0.05405405405405406,0.05405405405405406
战鼓解锁,2025-01-01,22.0,0.011532896052180941,0.006145166040047801,0.0045662100456621,0.0045662100456621,0.006901340996168582,0.007126340130334244,0.007553234230614704,0.008932882665379043,0.009680134680134681,0.0111004555262527,0.012256433139967276,0.014788695877625097,0.01920955882352942,0.030927835051546393,0.030927835051546393
战鼓解锁,2025-02-01,14.0,0.014976510251519592,0.007467908210820609,0.007042253521126761,0.007042253521126761,0.007703219439990132,0.008305785123966942,0.008591954022988506,0.009732988802756245,0.012480620155038761,0.016459770114942533,0.02089285714285714,0.0215527950310559,0.024942791762013732,0.028169014084507043,0.028169014084507043
