act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250424-20250426-3,非R,抽奖每日渠道,出生获得,2025-04-25,215,7300.0,438
20241223-20241225-3,超R,抽奖每日渠道,购买,2024-12-25,10,1836.0,45
20241128-20241130-3,非R,抽奖每日渠道,出生获得,2024-11-29,231,8830.0,539
20241128-20241130-3,大R,抽奖每日渠道,购买,2024-11-29,11,2116.0,61
20250211-20250213-3,非R,抽奖每日渠道,出生获得,2025-02-11,323,19250.0,1121
20250211-20250213-3,微R,抽奖每日渠道,玩家付费,2025-02-11,258,2316.0,977
20250219-20250221-3,中R,抽奖每日渠道,玩家付费,2025-02-19,140,1446.0,646
20250412-20250414-3,中R,抽奖每日渠道,购买,2025-04-13,2,148.0,9
20250219-20250221-3,未活跃,抽奖每日渠道,玩家付费,2025-02-21,37,293.0,118
20250125-20250127-3,小R,抽奖每日渠道,购买,2025-01-26,5,168.0,14
20250303-20250305-3,未活跃,抽奖每日渠道,出生获得,2025-03-05,6,140.0,9
20250101-20250103-3,非R,抽奖每日渠道,出生获得,2025-01-03,293,10490.0,685
20250506-20250508-3,大R,抽奖每日渠道,出生获得,2025-05-08,17,1190.0,84
20241223-20241225-3,小R,直购礼包礼包聚合1,神武锻造-购买档位1,,4,596.5293000000001,18
20250405-20250407-3,微R,直购礼包礼包聚合1,神武锻造-购买档位2,,1,125.0448,1
20241223-20241225-3,大R,直购礼包礼包聚合1,神武锻造-购买档位2,,7,2555.3136,21
20250327-20250329-3,中R,直购礼包礼包聚合1,神武锻造-购买档位1,,15,1579.1978,49
20250327-20250329-3,超R,直购礼包礼包聚合1,神武锻造-购买档位4,,1,360.0,6
20250311-20250313-3,小R,直购礼包礼包聚合2,小R,,5,1064.3584,9
20241211-20241213-3,中R,直购礼包礼包聚合2,中R,,36,22961.985300000026,235
20250506-20250508-3,微R,抽奖渠道,出生获得,,158,13170.0,793
20250424-20250426-3,小R,抽奖渠道,出生获得,,93,7850.0,485
20250311-20250313-3,小R,抽奖渠道,玩家付费,,156,4193.0,1789
20250311-20250313-3,超R,抽奖渠道,购买,,6,1216.0,46
20241128-20241130-3,超R,抽奖渠道,玩家付费,,17,552.0,214
20250327-20250329-3,非R,抽奖渠道,购买,,2,252.0,7
20250303-20250305-3,微R,抽奖每日渠道,玩家付费,2025-03-04,251,2202.0,961
20250319-20250321-3,非R,抽奖每日渠道,购买,2025-03-21,2,84.0,7
20241128-20241130-3,小R,抽奖每日渠道,出生获得,2024-11-29,49,1870.0,117
20241128-20241130-3,超R,抽奖每日渠道,出生获得,2024-11-30,7,430.0,31
20241211-20241213-3,未活跃,抽奖每日渠道,玩家付费,2024-12-12,93,581.0,239
20250506-20250508-3,微R,抽奖每日渠道,购买,2025-05-08,1,12.0,1
20250327-20250329-3,大R,抽奖每日渠道,出生获得,2025-03-27,14,1230.0,76
20250327-20250329-3,未活跃,抽奖每日渠道,玩家付费,2025-03-27,3,10.0,3
20250125-20250127-3,超R,抽奖每日渠道,玩家付费,2025-01-25,17,191.0,71
20250327-20250329-3,微R,抽奖每日渠道,购买,2025-03-29,1,36.0,3
20250412-20250414-3,中R,抽奖每日渠道,出生获得,2025-04-14,74,4040.0,277
20250211-20250213-3,大R,直购礼包礼包聚合1,神武锻造-购买档位4,,1,120.0,2
20241223-20241225-3,超R,直购礼包礼包聚合1,神武锻造-购买档位1,,7,1275.9944999999996,39
20250412-20250414-3,超R,直购礼包礼包聚合1,神武锻造-购买档位3,,6,17024.410799999998,26
20250424-20250426-3,大R,直购礼包礼包聚合1,神武锻造-购买档位3,,3,6898.428800000001,11
20250125-20250127-3,超R,直购礼包礼包聚合1,神武锻造-购买档位3,,7,26861.268399999994,42
20250311-20250313-3,超R,直购礼包礼包聚合1,神武锻造-购买档位3,,3,1844.4107999999999,3
20241223-20241225-3,小R,直购礼包礼包聚合1,神武锻造-购买档位2,,2,860.1792,7
20250327-20250329-3,中R,抽奖渠道,玩家付费,,145,4319.0,1860
20250424-20250426-3,微R,抽奖渠道,玩家付费,,279,6400.0,2763
20250114-20250116-3,中R,抽奖渠道,玩家付费,,145,4439.0,1836
20250405-20250407-3,大R,抽奖渠道,出生获得,,27,3310.0,219
20250405-20250407-3,中R,抽奖渠道,出生获得,,112,12350.0,788
20241128-20241130-3,大R,抽奖渠道,购买,,21,8656.0,212
20241211-20241213-3,超R,抽奖渠道,购买,,9,3972.0,101
20250522-20250524-3,微R,抽奖每日渠道,玩家付费,2025-05-23,237,1982.0,850
20250412-20250414-3,非R,抽奖每日渠道,出生获得,2025-04-14,361,12450.0,791
20250311-20250313-3,中R,抽奖每日渠道,出生获得,2025-03-13,80,4210.0,296
20241223-20241225-3,微R,抽奖每日渠道,出生获得,2024-12-23,80,4410.0,246
20250412-20250414-3,小R,抽奖每日渠道,出生获得,2025-04-12,59,4300.0,257
20250211-20250213-3,超R,抽奖每日渠道,购买,2025-02-13,7,1284.0,45
20250327-20250329-3,中R,抽奖每日渠道,购买,2025-03-28,3,132.0,11
20250211-20250213-3,非R,抽奖每日渠道,购买,2025-02-12,2,24.0,2
20250319-20250321-3,大R,抽奖每日渠道,出生获得,2025-03-21,11,790.0,57
20250405-20250407-3,微R,抽奖每日渠道,出生获得,2025-04-05,94,4990.0,286
20250211-20250213-3,超R,抽奖每日渠道,出生获得,2025-02-11,12,1360.0,84
20250125-20250127-3,非R,抽奖每日渠道,购买,2025-01-26,2,44.0,2
20241211-20241213-3,未活跃,抽奖每日渠道,出生获得,2024-12-12,11,430.0,30
20241211-20241213-3,超R,抽奖每日渠道,出生获得,2024-12-12,2,80.0,6
20250424-20250426-3,中R,抽奖每日渠道,出生获得,2025-04-24,73,4710.0,280
20241128-20241130-3,中R,抽奖每日渠道,出生获得,2024-11-28,81,7020.0,434
20250405-20250407-3,中R,直购礼包礼包聚合1,神武锻造-购买档位3,,2,1229.6072,2
20250101-20250103-3,超R,直购礼包礼包聚合1,神武锻造-购买档位1,,6,393.33150000000006,12
20241223-20241225-3,非R,直购礼包礼包聚合2,非R,,4,2789.8663,20
20241223-20241225-3,未活跃,直购礼包礼包聚合2,未活跃,,1,1100.0,12
20250114-20250116-3,中R,抽奖渠道,购买,,24,2428.0,133
20250219-20250221-3,大R,抽奖渠道,玩家付费,,34,1112.0,487
20250327-20250329-3,小R,抽奖渠道,玩家付费,,159,4087.0,1801
20250319-20250321-3,中R,抽奖渠道,玩家付费,,146,4473.0,1896
20250319-20250321-3,微R,抽奖渠道,出生获得,,139,9600.0,572
20241128-20241130-3,非R,抽奖渠道,出生获得,,541,39970.0,2452
20241211-20241213-3,中R,抽奖渠道,出生获得,,120,14030.0,897
20250303-20250305-3,未活跃,抽奖渠道,出生获得,,13,740.0,45
20250219-20250221-3,小R,抽奖每日渠道,出生获得,2025-02-20,51,1990.0,120
20241211-20241213-3,微R,抽奖每日渠道,出生获得,2024-12-11,111,7010.0,407
20250424-20250426-3,中R,抽奖每日渠道,玩家付费,2025-04-26,141,1551.0,659
20250319-20250321-3,中R,抽奖每日渠道,出生获得,2025-03-19,71,5230.0,321
20250327-20250329-3,超R,抽奖每日渠道,出生获得,2025-03-27,8,730.0,47
20241223-20241225-3,中R,抽奖每日渠道,玩家付费,2024-12-23,135,1413.0,605
20250219-20250221-3,大R,抽奖每日渠道,购买,2025-02-21,12,1400.0,49
20250506-20250508-3,非R,抽奖每日渠道,出生获得,2025-05-07,232,8290.0,487
20250311-20250313-3,超R,抽奖每日渠道,玩家付费,2025-03-11,17,221.0,84
