act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250409-20250411-3,大R,直购礼包礼包聚合1,2025情人节-巧克力礼包3,,2,1320.0,2
20250409-20250411-3,微R,直购礼包礼包聚合1,2025情人节稀有礼包4.99-300金币,,1,62.5224,1
20241219-20241222-4,超R,直购礼包礼包聚合1,2024情人节信物礼包5,,1,660.0,1
20250514-20250517-4,非R,抽奖每日渠道,引导奖励,2025-05-14,72,1806.0,199
20250325-20250328-4,中R,抽奖每日渠道,购买,2025-03-25,18,566.0,86
20250121-20250124-4,超R,抽奖每日渠道,引导奖励,2025-01-24,8,133.0,27
20241127-20241201-5,小R,抽奖每日渠道,玩家付费,2024-12-01,155,590.0,371
20241127-20241201-5,微R,抽奖每日渠道,引导奖励,2024-12-01,175,2267.0,396
20250514-20250517-4,中R,抽奖每日渠道,引导奖励,2025-05-15,96,1170.0,208
20250104-20250107-4,中R,抽奖每日渠道,购买,2025-01-06,15,840.0,78
20250428-20250501-4,中R,抽奖每日渠道,玩家付费,2025-04-29,136,712.0,341
20250203-20250206-4,未活跃,抽奖渠道,购买,,1,226.0,12
20250223-20250226-4,小R,抽奖渠道,购买,,5,722.0,43
20250223-20250226-4,中R,pprid_reward_type,160_3,2024信物,6,36.0,6
20250223-20250226-4,大R,pprid_reward_type,160_1,家督印（战旗征集道具）,9,9.0,9
20241127-20241201-5,超R,pprid_reward_type,160_1,阵石随机包（绿）,5,5.0,5
20250203-20250206-4,非R,pprid_reward_type,160_1,阵石随机包（绿）,194,194.0,194
20250514-20250517-4,中R,pprid_reward_type,160_1,2024信物,111,222.0,111
20250104-20250107-4,未活跃,pprid_reward_type,160_1,抽奖自选包,61,61.0,61
20250104-20250107-4,小R,pprid_reward_type,164_1,阵石随机包（蓝）,3,3.0,3
20250104-20250107-4,超R,pprid_reward_type,160_1,阵石随机包（绿）,4,4.0,4
20250104-20250107-4,超R,pprid_reward_type,160_3,暗·织田信长UR(碎片),2,4.0,2
20250121-20250124-4,中R,pprid_reward_type,164_1,抽奖自选包,46,230.0,46
20250121-20250124-4,非R,pprid_reward_type,160_1,抽奖自选包,866,866.0,866
20250121-20250124-4,微R,pprid_reward_type,164_1,阵石随机包（蓝）,2,2.0,2
20241219-20241222-4,大R,pprid_reward_type,164_3,2024信物,7,70.0,7
20241219-20241222-4,超R,pprid_reward_type,164_3,阵石随机包（橙）,1,3.0,1
20241219-20241222-4,微R,pprid_reward_type,160_3,暗·织田信长UR(碎片),1,2.0,1
20250325-20250328-4,小R,pprid_reward_type,160_1,S30冠军鸡,6,6.0,6
20250514-20250517-4,超R,pprid_reward_type,160_2,铁锭（装备饰品和改造道具）,1,1000.0,1
20250223-20250226-4,超R,pprid_reward_type,160_1,2024信物,12,24.0,12
20250223-20250226-4,非R,pprid_reward_type,160_1,UR招募令,101,101.0,101
20241127-20241201-5,小R,pprid_reward_type,164_3,暗·织田信长UR(碎片),1,4.0,1
20250325-20250328-4,超R,兑换信物金币消耗,超R,,15,126513.0,167
20250510-20250513-4,中R,兑换奖励内容,5阶攻击符文自选箱,,1,1.0,1
20250409-20250411-3,超R,兑换奖励内容,红色装备8随1,,4,20.0,20
20250428-20250501-4,非R,兑换奖励内容,2024信物,,357,1169500.0,1378
