date,pay_tag,is_pay,is_9,is_10,is_80002,dau
2024-11-18,中R,49,88.0,79.0,96.0,145
2024-01-20,中R,55,95.0,108.0,,141
2024-10-17,小R,20,89.0,91.0,78.0,156
2025-04-08,小R,19,77.0,76.0,60.0,161
2024-09-17,小R,24,75.0,91.0,78.0,153
2024-02-09,微R,25,73.0,130.0,,264
2023-12-25,中R,61,77.0,95.0,,142
2024-11-19,未活跃,4,9.0,8.0,9.0,169
2025-03-01,小R,26,75.0,76.0,66.0,158
2025-01-06,中R,59,89.0,72.0,86.0,146
2025-01-11,微R,24,74.0,62.0,41.0,276
2024-01-29,超R,10,11.0,11.0,,16
2024-07-03,中R,49,90.0,93.0,105.0,142
2023-11-11,非R,28,,,,1672
2023-12-09,大R,23,5.0,8.0,,33
2024-08-08,超R,5,9.0,10.0,11.0,17
2025-04-29,大R,24,25.0,28.0,30.0,34
2024-11-05,微R,13,86.0,67.0,50.0,278
2024-12-09,小R,27,78.0,88.0,66.0,156
2024-12-09,微R,19,71.0,63.0,36.0,274
2025-03-08,中R,57,88.0,65.0,82.0,147
2025-01-27,小R,27,75.0,79.0,66.0,157
2025-02-10,大R,20,25.0,21.0,28.0,34
2024-11-27,大R,23,27.0,21.0,29.0,34
2025-02-17,大R,18,26.0,20.0,27.0,34
2025-01-01,微R,34,73.0,62.0,39.0,279
2024-02-01,非R,24,84.0,114.0,,1594
2023-11-25,中R,62,,,,143
2024-04-26,未活跃,24,45.0,52.0,13.0,530
2024-07-26,未活跃,10,20.0,20.0,27.0,328
2024-07-26,小R,26,81.0,99.0,86.0,147
2024-10-09,中R,69,95.0,87.0,97.0,145
2025-05-15,非R,0,7.0,6.0,3.0,1512
2024-08-02,中R,55,91.0,93.0,101.0,142
2024-10-14,超R,11,9.0,10.0,13.0,16
2024-09-05,中R,44,91.0,91.0,99.0,145
2024-09-02,微R,25,82.0,72.0,62.0,275
2024-12-28,小R,26,74.0,84.0,69.0,156
2024-06-15,微R,20,79.0,87.0,88.0,271
2024-12-24,非R,13,33.0,26.0,19.0,1550
2024-03-13,非R,12,73.0,99.0,,1554
2024-02-08,小R,35,85.0,117.0,,150
2025-03-06,超R,11,11.0,10.0,11.0,17
2024-03-28,非R,14,74.0,92.0,,1544
2025-05-08,小R,23,87.0,95.0,58.0,158
2024-03-17,微R,20,76.0,112.0,,265
2024-04-28,微R,39,79.0,120.0,44.0,264
2024-08-23,微R,17,74.0,77.0,68.0,272
2023-11-10,中R,43,,,,143
2023-11-28,中R,46,,,,143
2024-12-19,未活跃,2,5.0,6.0,7.0,136
2024-08-17,中R,79,98.0,95.0,107.0,145
2025-04-03,中R,49,88.0,66.0,77.0,148
2024-02-15,中R,49,92.0,103.0,,139
2024-03-16,中R,52,87.0,101.0,,140
2024-08-21,未活跃,7,19.0,18.0,20.0,286
2023-11-07,非R,35,,,,1632
2024-08-03,微R,24,79.0,82.0,77.0,269
2024-11-02,微R,28,85.0,63.0,51.0,277
2024-12-02,超R,9,10.0,10.0,12.0,17
2024-02-25,超R,11,11.0,12.0,,16
2024-08-09,中R,48,94.0,94.0,107.0,142
2024-06-26,小R,35,79.0,97.0,94.0,148
2025-02-25,未活跃,0,4.0,4.0,4.0,56
2024-05-16,小R,22,76.0,105.0,98.0,146
2023-11-18,非R,39,,,,1646
2024-10-02,小R,25,83.0,90.0,69.0,156
2025-03-29,超R,8,10.0,10.0,12.0,17
2024-02-16,超R,10,11.0,12.0,,16
2025-01-18,大R,20,26.0,21.0,29.0,34
2024-04-20,非R,16,68.0,84.0,,1582
2024-11-23,中R,39,86.0,79.0,93.0,145
2025-04-19,小R,24,84.0,84.0,61.0,159
2024-05-20,微R,19,77.0,104.0,84.0,266
2024-10-13,微R,20,81.0,71.0,54.0,275
2025-02-14,小R,25,78.0,74.0,70.0,158
2023-11-22,微R,20,,,,270
2023-12-10,未活跃,28,25.0,52.0,,886
2024-06-10,中R,56,93.0,100.0,103.0,141
