act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250330-20250401-3,微R,直购礼包礼包聚合2,微R,,3,250.0896,3
20250330-20250401-3,非R,直购礼包礼包聚合2,非R,,1,312.612,1
20250104-20250106-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,6,14973.507999999998,47
20241127-20241130-4,大R,直购礼包礼包聚合1,团购礼包-2400日元,,6,7486.478399999998,61
20241127-20241130-4,微R,直购礼包礼包聚合1,团购礼包-1200日元,,1,62.5224,1
20241227-20241229-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,7,14951.343999999997,47
20241207-20241210-4,大R,直购礼包礼包聚合1,团购礼包-320日元,,2,83.3632,5
20250514-20250516-3,大R,直购礼包礼包聚合1,团购礼包-11800日元,,1,614.8036,1
20241227-20241229-3,中R,直购礼包礼包聚合2,中R,,15,5348.248159999997,35
20241127-20241130-4,中R,直购礼包礼包聚合2,中R,,10,1319.5534400000001,18
20241220-20241222-3,非R,直购礼包礼包聚合1,团购礼包-2400日元,,1,240.0,2
20241207-20241210-4,未活跃,直购礼包礼包聚合1,团购礼包-320日元,,1,16.0,1
20250514-20250516-3,超R,直购礼包礼包聚合1,团购礼包-2400日元,,1,125.0448,1
20250104-20250106-3,超R,直购礼包礼包聚合2,超R,,6,16217.097279999993,75
20250328-20250330-3,大R,直购礼包礼包聚合2,大R,,8,3282.9139,45
20241220-20241222-3,小R,直购礼包礼包聚合1,团购礼包-1200日元,,3,250.0896,4
20241227-20241229-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,6,7591.344000000001,24
20250412-20250414-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,5,500.1792,8
20250223-20250225-3,中R,直购礼包礼包聚合2,中R,,26,5779.437699999998,92
20250328-20250330-3,小R,直购礼包礼包聚合2,小R,,1,32.0,1
20241227-20241229-3,大R,直购礼包礼包聚合1,团购礼包-2400日元,,2,365.0448,3
20250328-20250330-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,3,4160.0,13
20241207-20241210-4,非R,直购礼包礼包聚合1,团购礼包-2400日元,,1,360.0,3
20250514-20250516-3,超R,直购礼包礼包聚合1,团购礼包-650日元,,5,2407.4651999999996,75
20250210-20250212-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,6,685.2239999999999,11
20250104-20250106-3,中R,直购礼包礼包聚合2,中R,,8,3472.1654399999993,29
20250223-20250225-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,2,2232.612,7
20250330-20250401-3,大R,直购礼包礼包聚合1,团购礼包-1200日元,,1,62.5224,1
20250210-20250212-3,超R,直购礼包礼包聚合1,团购礼包-6000日元,,8,19773.507999999998,62
20241207-20241210-4,微R,直购礼包礼包聚合1,团购礼包-1200日元,,2,125.0448,2
20250412-20250414-3,超R,直购礼包礼包聚合1,团购礼包-1200日元,,1,187.56719999999999,3
20241207-20241210-4,小R,直购礼包礼包聚合1,团购礼包-1200日元,,3,375.13439999999997,6
20250104-20250106-3,中R,直购礼包礼包聚合1,团购礼包-6000日元,,1,1600.0,5
20241127-20241130-4,超R,直购礼包礼包聚合1,团购礼包-1200日元,,2,780.0,13
20241127-20241130-4,未活跃,直购礼包礼包聚合2,未活跃,,2,187.56719999999999,2
20250514-20250516-3,小R,直购礼包礼包聚合2,小R,,3,312.61199999999997,5
20250514-20250516-3,超R,直购礼包礼包聚合2,超R,,6,12742.957999999999,108
20241127-20241130-4,非R,直购礼包礼包聚合2,非R,,4,64.0,4
20250412-20250414-3,大R,直购礼包礼包聚合2,大R,,13,8945.1194,51
20241127-20241130-4,小R,直购礼包礼包聚合1,团购礼包-2400日元,,1,125.0448,1
20241220-20241222-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,7,16775.29999999999,53
20250210-20250212-3,大R,直购礼包礼包聚合1,团购礼包-6000日元,,4,5038.732000000001,16
20250210-20250212-3,中R,直购礼包礼包聚合1,团购礼包-2400日元,,1,125.0448,1
20250223-20250225-3,非R,直购礼包礼包聚合2,非R,,2,745.0586000000003,22
20241127-20241130-4,超R,直购礼包礼包聚合1,团购礼包-6000日元,,2,3475.6720000000005,11
20241127-20241130-4,超R,直购礼包礼包聚合1,团购礼包-2400日元,,2,3490.0896000000002,29
20250330-20250401-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,7,620.1791999999999,10
20250210-20250212-3,微R,直购礼包礼包聚合1,团购礼包-1200日元,,1,62.5224,1
20241127-20241130-4,未活跃,直购礼包礼包聚合1,团购礼包-1200日元,,1,62.5224,1
20241227-20241229-3,大R,直购礼包礼包聚合2,大R,,9,8410.0456,35
20250210-20250212-3,超R,直购礼包礼包聚合2,超R,,10,20139.52592,69
20250104-20250106-3,中R,直购礼包礼包聚合1,团购礼包-1200日元,,4,995.3135999999997,16
20241207-20241210-4,大R,直购礼包礼包聚合1,团购礼包-2400日元,,9,7770.806399999998,64
