date,act_tag,role_id,vip_level,level,pay_tag,is_pay,money,web_money,money_rmb,webmoney_rmb,core_add,core_cost,core_end,sincetimes_add,sincetimes_cost,sincetimes_end,act_rmb,bp_rmb,item_cost,item_add,summon_count,summon_21602,summon_21603,item_tag,summon_wau,summon21602_wau,summon21603_wau,actrmb_wau,bprmb_wau,dau,wau
2025-01-11,20250110-20250113-4,14130442565060,7,118,非R,0,,,,,2390.0,1000.0,9797,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,14130442565060,7,118,非R,0,,,,,820.0,50.0,10567,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,14130442565060,7,118,非R,0,,,,,1145.0,1020.0,10692,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,14160507307122,13,126,小R,0,,,,,3170.0,10165.0,8114,,,5.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,14160507307122,13,126,小R,0,,,,,920.0,130.0,8904,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,14160507307122,13,126,小R,0,,,,,1220.0,275.0,9849,,,5.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-13,20250110-20250113-4,14160507307122,13,126,小R,0,,,,,3220.0,,13069,,,5.0,,,4.0,4.0,2.0,2.0,,"[1,20)",,,,,,1,
2025-01-10,20250110-20250113-4,14194867284749,14,119,微R,0,,,,,1120.0,,9127,,,,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-11,20250110-20250113-4,14194867284749,14,119,微R,1,320.00,,16.67264000,,820.0,,9947,,,,,,,,,,,"[1,20)",,,,,,1,
2025-01-12,20250110-20250113-4,14194867284749,14,119,微R,0,,,,,950.0,,10897,,,,,,2.0,2.0,1.0,1.0,,"[1,20)",,,,,,1,
2025-01-13,20250110-20250113-4,14194867284749,14,119,微R,0,,,,,930.0,,11827,,,,,,,,,,,"[1,20)",,,,,,1,
2025-01-11,20250110-20250113-4,14199161982743,10,109,微R,0,,,,,840.0,520.0,11945,,,5.0,,,,,,,,[0],,,,,,1,1.0
2025-01-12,20250110-20250113-4,14199161982743,10,109,微R,0,,,,,60.0,,12005,,,5.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,14199161982743,10,109,微R,0,,,,,420.0,560.0,11865,,,5.0,,,,,,,,[0],,,,,,1,
2025-02-23,20250223-20250226-4,14199162083996,2,125,非R,0,,,,,620.0,1000.0,57,,,1.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,14199162083996,2,125,非R,0,,,,,695.0,,752,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,14199162083996,2,125,非R,0,,,,,720.0,1000.0,472,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,14199162083996,2,125,非R,0,,,,,355.0,,827,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-21,20250121-20250124-4,14233521866306,0,102,非R,0,,,,,100.0,,469,,,1.0,,,,,,,,"[1,20)",1.0,1.0,,,,1,1.0
2025-01-22,20250121-20250124-4,14233521866306,0,102,非R,0,,,,,160.0,170.0,459,,,1.0,,,2.0,2.0,1.0,1.0,,"[1,20)",,,,,,1,
2025-01-23,20250121-20250124-4,14233521866306,0,102,非R,0,,,,,660.0,120.0,999,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-24,20250121-20250124-4,14233521866306,0,102,非R,0,,,,,110.0,1000.0,109,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-21,20250121-20250124-4,14306536196960,7,125,非R,0,,,,,820.0,25.0,7656,,,1.0,,,,,,,,"[1,20)",1.0,,1.0,,,1,1.0
2025-01-22,20250121-20250124-4,14306536196960,7,125,非R,0,,,,,1070.0,,8726,,,1.0,,,,,,,,"[1,20)",,,,,,1,
2025-01-23,20250121-20250124-4,14306536196960,7,125,非R,0,,,,,620.0,25.0,9321,,,1.0,,,,2.0,,,,"[1,20)",,,,,,1,
2025-01-24,20250121-20250124-4,14306536196960,7,125,非R,0,,,,,3720.0,50.0,12991,,,1.0,,,6.0,4.0,3.0,,3.0,"[1,20)",,,,,,1,
2025-02-23,20250223-20250226-4,14306536198635,5,124,非R,0,,,,,1205.0,1050.0,23653,,,1.0,,,,,,,,[0],,,,,,1,1.0
2025-02-24,20250223-20250226-4,14306536198635,5,124,非R,0,,,,,1570.0,1200.0,24023,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-25,20250223-20250226-4,14306536198635,5,124,非R,0,,,,,1305.0,950.0,24378,,,1.0,,,,,,,,[0],,,,,,1,
2025-02-26,20250223-20250226-4,14306536198635,5,124,非R,0,,,,,1365.0,550.0,25193,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,14315126332305,0,122,非R,0,,,,,1160.0,95.0,1527,,,1.0,,,,,,,,[0],,,,,,1,1.0
2025-01-11,20250110-20250113-4,14315126332305,0,122,非R,0,,,,,1010.0,1775.0,762,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-12,20250110-20250113-4,14315126332305,0,122,非R,0,,,,,760.0,,1522,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-13,20250110-20250113-4,14315126332305,0,122,非R,0,,,,,780.0,75.0,2227,,,1.0,,,,,,,,[0],,,,,,1,
2025-01-10,20250110-20250113-4,14340895917049,0,110,非R,0,,,,,420.0,1000.0,46580,,,21.0,,,,,,,,"[20,60)",1.0,,1.0,,,1,1.0
2025-01-11,20250110-20250113-4,14340895917049,0,110,非R,0,,,,,780.0,,47360,,,21.0,,,,,,,,"[20,60)",,,,,,1,
2025-01-12,20250110-20250113-4,14340895917049,0,110,非R,0,,,,,920.0,2000.0,46280,,,21.0,,,,2.0,,,,"[20,60)",,,,,,1,
2025-01-13,20250110-20250113-4,14340895917049,0,110,非R,0,,,,,1000.0,4400.0,42880,,,21.0,,,42.0,40.0,21.0,,21.0,"[20,60)",,,,,,1,
