act_tag,pay_tag,type,dis_type1,dis_type2,users,target_sum,target_count
20250227-20250313-15,超R,直购礼包礼包聚合1,签到礼包1,,11,670.0896,11
20250227-20250313-15,未活跃,直购礼包礼包聚合1,签到礼包2,,2,250.0896,2
20250202-20250216-15,中R,直购礼包礼包聚合1,签到礼包3,,73,22990.600000000002,73
20250501-20250515-15,超R,直购礼包礼包聚合1,签到礼包3,,13,4123.06,13
20250227-20250313-15,大R,直购礼包礼包聚合1,签到礼包1,,21,1290.2688,21
20250501-20250515-15,未活跃,直购礼包礼包聚合1,签到礼包2,,1,125.0448,1
20250227-20250313-15,非R,直购礼包礼包聚合1,签到礼包2,,14,1735.4927999999998,14
20250202-20250216-15,非R,直购礼包礼包聚合1,签到礼包2,,16,1980.5375999999994,16
20250227-20250313-15,超R,直购礼包礼包聚合1,签到礼包4,,14,8968.821600000001,14
20250202-20250216-15,微R,直购礼包礼包聚合1,签到礼包1,,26,1623.0600000000002,26
20250202-20250216-15,大R,直购礼包礼包聚合1,签到礼包2,,22,2700.5376,22
20250202-20250216-15,微R,直购礼包礼包聚合1,签到礼包4,,4,2459.2144,4
20250227-20250313-15,未活跃,直购礼包礼包聚合2,未活跃,,5,1365.0724,7
20250101-20250115-15,微R,直购礼包礼包聚合1,签到礼包1,,29,1810.6272000000004,29
20250501-20250515-15,小R,直购礼包礼包聚合1,签到礼包3,,7,2188.284,7
20250227-20250313-15,微R,直购礼包礼包聚合1,签到礼包1,,18,1125.4031999999997,18
20250227-20250313-15,中R,直购礼包礼包聚合2,中R,,129,81179.6432000001,280
20250501-20250515-15,未活跃,直购礼包礼包聚合1,签到礼包4,,1,614.8036,1
20250227-20250313-15,非R,直购礼包礼包聚合1,签到礼包4,,7,4574.8036,7
20250227-20250313-15,微R,直购礼包礼包聚合1,签到礼包4,,3,1844.4107999999999,3
20250227-20250313-15,超R,直购礼包礼包聚合1,签到礼包3,,15,4748.284000000001,15
20250227-20250313-15,大R,直购礼包礼包聚合2,大R,,32,31247.236800000006,102
20250101-20250115-15,大R,直购礼包礼包聚合1,签到礼包2,,25,3080.7168,25
20250202-20250216-15,中R,直购礼包礼包聚合1,签到礼包2,,82,10142.687999999991,82
20250501-20250515-15,中R,直购礼包礼包聚合1,签到礼包4,,72,45079.394399999976,72
20250501-20250515-15,大R,直购礼包礼包聚合1,签到礼包3,,28,8856.568,28
20250202-20250216-15,中R,直购礼包礼包聚合2,中R,,127,89729.99480000012,312
20250501-20250515-15,微R,直购礼包礼包聚合1,签到礼包3,,1,312.612,1
20250101-20250115-15,非R,直购礼包礼包聚合1,签到礼包1,,10,615.1344,10
20250101-20250115-15,小R,直购礼包礼包聚合1,签到礼包1,,48,2983.418399999998,48
20250101-20250115-15,中R,直购礼包礼包聚合2,中R,,126,86754.97080000007,302
20250202-20250216-15,微R,直购礼包礼包聚合1,签到礼包2,,40,4996.747199999999,40
20250101-20250115-15,微R,直购礼包礼包聚合1,签到礼包2,,35,4366.4784,35
20250501-20250515-15,超R,直购礼包礼包聚合1,签到礼包1,,10,607.5672,10
20250227-20250313-15,中R,直购礼包礼包聚合1,签到礼包2,,78,9652.59839999999,78
20250202-20250216-15,非R,直购礼包礼包聚合1,签到礼包1,,13,800.1791999999999,13
20250501-20250515-15,超R,直购礼包礼包聚合2,超R,,16,13879.779599999996,47
20250227-20250313-15,非R,直购礼包礼包聚合2,非R,,22,8698.221999999998,35
20250227-20250313-15,非R,直购礼包礼包聚合1,签到礼包1,,8,490.0896,8
20250501-20250515-15,微R,直购礼包礼包聚合2,微R,,37,7545.3619999999955,41
20250227-20250313-15,大R,直购礼包礼包聚合1,签到礼包2,,24,2940.5376,24
20250227-20250313-15,未活跃,直购礼包礼包聚合1,签到礼包3,,1,312.612,1
20250501-20250515-15,非R,直购礼包礼包聚合1,签到礼包3,,1,312.612,1
20250101-20250115-15,微R,直购礼包礼包聚合1,签到礼包3,,7,2188.284,7
20250227-20250313-15,微R,直购礼包礼包聚合1,签到礼包2,,30,3746.299200000001,30
20250501-20250515-15,非R,直购礼包礼包聚合1,签到礼包2,,5,615.1344,5
20250202-20250216-15,超R,直购礼包礼包聚合1,签到礼包1,,13,797.6567999999999,13
20250101-20250115-15,超R,直购礼包礼包聚合1,签到礼包1,,12,737.6567999999999,12
