month,channel,reason,core_cost
2024-06-01,800306,20,5100.0
2024-06-01,800306,221,604200.0
2024-06-01,800306,202,333619.0
2024-06-01,800306,67,14700.0
2024-06-01,800306,216,205100.0
2024-06-01,800306,63,236000.0
2024-06-01,800306,187,751000.0
2024-06-01,800306,186,6480.0
2024-06-01,800306,79,2042540.0
2024-06-01,800306,26,2800.0
2024-06-01,800306,44,891850.0
2024-06-01,800306,251,2730300.0
2024-06-01,800306,190,151550.0
2024-06-01,800306,22,700.0
2024-06-01,800306,144,249700.0
2024-06-01,800306,199,40000.0
2024-06-01,800306,154,44960.0
2024-06-01,800306,107,128700.0
2024-06-01,800306,224,131184.0
2024-06-01,800306,109,125700.0
2024-06-01,800306,64,26400.0
2024-06-01,800306,122,475270.0
2024-06-01,800306,74,11000.0
2024-06-01,800306,161,2600.0
2024-05-01,800301,187,600.0
2024-05-01,800301,154,1080.0
2024-05-01,800301,216,3500.0
2024-05-01,800301,44,2550.0
2024-05-01,800301,190,1800.0
2024-05-01,800301,221,600.0
2024-05-01,800301,64,100.0
2024-05-01,800301,63,4000.0
2024-05-01,800301,74,200.0
2024-05-01,800301,79,28260.0
2024-05-01,800301,202,5747.0
2024-05-01,800301,109,200.0
2024-05-01,800301,122,510.0
2024-05-01,800301,186,140.0
2024-05-01,800303,107,600.0
2024-05-01,800303,221,29100.0
2024-05-01,800303,109,16200.0
2024-05-01,800303,187,25000.0
2024-05-01,800303,224,2100.0
2024-05-01,800303,64,600.0
2024-05-01,800303,74,900.0
2024-05-01,800303,20,300.0
2024-05-01,800303,216,9500.0
2024-05-01,800303,223,6272.0
2024-05-01,800303,79,83280.0
2024-05-01,800303,44,81900.0
2024-05-01,800303,26,400.0
2024-05-01,800303,63,13800.0
2024-05-01,800303,161,300.0
2024-05-01,800303,154,1750.0
2024-05-01,800303,203,60.0
2024-05-01,800303,144,6500.0
2024-05-01,800303,122,12930.0
2024-05-01,800303,190,8000.0
2024-05-01,800303,186,300.0
2024-05-01,800303,202,26274.0
2024-05-01,800304,64,17500.0
2024-05-01,800304,26,5200.0
2024-05-01,800304,190,175950.0
2024-05-01,800304,187,751400.0
2024-05-01,800304,186,6980.0
2024-05-01,800304,221,665400.0
2024-05-01,800304,144,179700.0
2024-05-01,800304,107,173700.0
2024-05-01,800304,79,1953470.0
2024-05-01,800304,122,472910.0
2024-05-01,800304,161,600.0
2024-05-01,800304,74,32700.0
2024-05-01,800304,44,715350.0
2024-05-01,800304,224,119784.0
2024-05-01,800304,20,2400.0
2024-05-01,800304,216,202650.0
2024-05-01,800304,109,79900.0
2024-05-01,800304,154,70820.0
2024-05-01,800304,63,308000.0
2024-05-01,800304,67,9900.0
2024-05-01,800304,203,530.0
2024-05-01,800304,223,30795.0
2024-05-01,800304,199,5000.0
2024-05-01,800304,202,287190.0
2024-05-01,800304,22,400.0
2024-05-01,800306,44,777500.0
2024-05-01,800306,63,259000.0
2024-05-01,800306,26,2400.0
2024-05-01,800306,187,807800.0
2024-05-01,800306,223,30793.0
2024-05-01,800306,224,147606.0
2024-05-01,800306,122,505930.0
2024-05-01,800306,190,160750.0
2024-05-01,800306,20,2100.0
2024-05-01,800306,202,350321.0
2024-05-01,800306,221,750900.0
2024-05-01,800306,154,38610.0
2024-05-01,800306,203,650.0
2024-05-01,800306,64,30600.0
2024-05-01,800306,161,2200.0
2024-05-01,800306,186,7260.0
2024-05-01,800306,74,14300.0
2024-05-01,800306,109,130100.0
2024-05-01,800306,22,500.0
2024-05-01,800306,79,2248130.0
2024-05-01,800306,216,225500.0
2024-05-01,800306,144,136500.0
2024-05-01,800306,107,114900.0
2024-05-01,800306,67,10800.0
2024-04-01,800301,107,15000.0
2024-04-01,800301,202,4340.0
2024-04-01,800301,144,600.0
2024-04-01,800301,63,2700.0
2024-04-01,800301,67,300.0
2024-04-01,800301,190,850.0
2024-04-01,800301,74,100.0
2024-04-01,800301,44,2300.0
2024-04-01,800301,187,800.0
2024-04-01,800301,216,2600.0
2024-04-01,800301,109,300.0
2024-04-01,800301,64,100.0
2024-04-01,800301,154,1300.0
2024-04-01,800301,79,24720.0
2024-04-01,800301,122,30.0
2024-04-01,800301,186,20.0
2024-04-01,800301,221,3000.0
2024-04-01,800301,272,600.0
2024-04-01,800303,74,2100.0
2024-04-01,800303,161,900.0
2024-04-01,800303,122,11040.0
2024-04-01,800303,190,7650.0
2024-04-01,800303,64,400.0
2024-04-01,800303,186,1100.0
2024-04-01,800303,26,400.0
2024-04-01,800303,67,600.0
2024-04-01,800303,221,30900.0
2024-04-01,800303,79,75110.0
2024-04-01,800303,154,3150.0
2024-04-01,800303,272,16700.0
2024-04-01,800303,202,25129.0
2024-04-01,800303,107,9300.0
2024-04-01,800303,109,12900.0
2024-04-01,800303,63,11600.0
2024-04-01,800303,216,12000.0
2024-04-01,800303,224,3650.0
2024-04-01,800303,44,69700.0
2024-04-01,800303,144,7100.0
2024-04-01,800303,187,18400.0
2024-04-01,800303,223,32.0
2024-04-01,800304,20,3300.0
2024-04-01,800304,187,836000.0
2024-04-01,800304,44,559600.0
2024-04-01,800304,154,68190.0
2024-04-01,800304,22,400.0
2024-04-01,800304,272,216400.0
2024-04-01,800304,63,382200.0
2024-04-01,800304,122,534810.0
2024-04-01,800304,186,9640.0
2024-04-01,800304,64,29400.0
2024-04-01,800304,190,213950.0
2024-04-01,800304,144,377500.0
2024-04-01,800304,223,48543.0
2024-04-01,800304,203,2310.0
2024-04-01,800304,67,12900.0
